,word,frequency
119,Tesla,70
149,amp,54
31,rocket,49
52,Model,44
44,good,29
56,w,28
93,like,27
91,launch,23
370,Dragon,22
299,time,22
286,first,21
360,people,21
289,Space,19
716,would,18
334,car,17
301,make,16
273,Falcon,16
532,test,16
1088,SpaceX,16
917,one,15
20,solar,15
246,cars,15
159,9,14
200,next,14
242,actually,14
5,really,14
287,flight,14
477,much,13
379,back,13
104,article,13
23,long,13
925,Station,12
648,many,12
1131,better,12
911,Mars,12
1140,years,12
542,lot,11
158,gas,11
17,day,11
1389,X,11
216,thrust,11
387,new,11
112,right,11
50,vs,10
1450,great,10
392,Supercharger,10
1064,tax,10
322,way,10
114,need,10
318,going,10
456,climate,10
75,miles,10
444,today,10
1197,help,10
303,change,10
12,battery,10
1290,Im,10
257,5,10
875,go,10
1267,announcement,9
278,super,9
1545,v,9
337,also,9
260,kids,9
268,fire,9
122,high,9
1005,could,9
420,Grasshopper,9
598,week,9
561,California,9
15,energy,9
595,real,9
697,company,8
681,team,8
108,pack,8
810,engineering,8
892,bad,8
840,night,8
843,LA,8
757,direct,8
625,US,8
143,engine,8
1264,makes,8
21,power,8
1206,life,8
726,done,8
24,term,8
740,know,8
87,video,8
916,say,8
2187,called,8
1656,drive,8
422,think,8
431,landing,8
495,range,8
894,dont,8
32,around,8
903,3,7
608,design,7
1525,little,7
1338,true,7
377,1,7
388,2,7
775,something,7
325,tomorrow,7
354,get,7
1293,coming,7
569,review,7
178,take,7
469,big,7
594,made,7
1642,Texas,7
293,Cape,7
1205,future,7
205,pressure,7
859,see,7
615,air,7
348,best,7
729,end,7
62,Earth,7
64,stage,7
596,Good,6
1374,customers,6
315,date,6
814,auto,6
2834,spaceship,6
1373,thanks,6
292,live,6
165,side,6
82,goes,6
83,well,6
719,firing,6
1016,world,6
171,doesnt,6
798,allow,6
1,hold,6
817,cool,6
1289,awesome,6
96,chance,6
689,far,6
758,sales,6
1231,fully,6
225,mins,6
709,vehicle,6
893,u,6
496,electric,6
199,probably,6
973,CO2,6
418,space,6
78,orbit,6
511,software,6
1068,love,6
547,gen,6
646,others,6
1073,low,6
342,even,6
1871,thrusters,6
134,sure,6
1443,worlds,6
365,full,6
1816,work,6
823,dealers,6
1060,looks,6
123,speed,6
850,got,6
483,systems,5
498,target,5
1437,TX,5
1406,head,5
1507,testing,5
2111,1st,5
1749,didnt,5
65,rear,5
1119,crazy,5
1215,points,5
473,Hyperloop,5
94,thank,5
1009,scientists,5
403,hover,5
324,Canaveral,5
269,risk,5
48,200,5
53,short,5
317,coast,5
314,mission,5
1146,code,5
1488,New,5
2355,last,5
901,market,5
667,saying,5
67,camera,5
922,money,5
881,15,5
340,cover,5
1021,thought,5
833,still,5
2008,without,5
1122,find,5
66,view,5
676,ride,5
2027,us,5
47,used,5
454,piece,5
832,swap,5
1086,put,5
1517,4,5
725,almost,5
563,mph,5
1570,look,5
183,days,5
197,bring,5
1325,Google,5
1279,year,5
935,story,5
2145,trip,5
1884,exciting,5
2198,American,5
958,agree,5
1933,dead,4
2028,use,4
3338,2012,4
1834,state,4
155,ground,4
751,vid,4
868,needed,4
1357,song,4
412,created,4
10,huge,4
806,usually,4
1393,important,4
1169,fair,4
3147,weapons,4
720,proud,4
1022,wd,4
1302,free,4
603,person,4
944,advanced,4
910,possible,4
797,House,4
1135,always,4
543,technology,4
1536,NASA,4
2428,Ariane,4
59,means,4
60,sustainable,4
121,due,4
117,govt,4
628,hard,4
63,upper,4
1526,leg,4
368,chamber,4
853,things,4
1102,taken,4
735,beer,4
927,dark,4
18,must,4
2038,four,4
1772,month,4
2037,pods,4
132,another,4
548,rockets,4
405,pad,4
138,eve,4
746,Yes,4
934,50,4
407,shot,4
142,small,4
1445,value,4
335,road,4
105,problem,4
2144,charge,4
722,tough,4
2095,point,4
981,smoking,4
479,open,4
776,every,4
1598,Hearing,4
891,feel,4
253,burn,4
889,said,4
486,10,4
994,cost,4
230,satellite,4
1001,ask,4
4,thats,4
517,working,4
1998,creating,4
232,max,4
482,static,4
1572,bit,4
2456,cat,4
784,action,4
1604,news,4
760,passed,4
2282,London,4
593,movie,4
494,mile,4
1194,read,4
2957,book,4
1192,someone,4
102,try,4
795,support,4
