,word,frequency,rankdata,log_freq,log_rank
0,trueever,1,105.0,0.0,4.653960350157523
1,wanted,1,105.0,0.0,4.653960350157523
2,know,2,214.0,0.6931471805599453,5.365976015021851
3,real,1,105.0,0.0,4.653960350157523
4,truth,1,105.0,0.0,4.653960350157523
5,moon,1,105.0,0.0,4.653960350157523
6,landings,1,105.0,0.0,4.653960350157523
7,best,1,105.0,0.0,4.653960350157523
8,Onion,1,105.0,0.0,4.653960350157523
9,article,1,105.0,0.0,4.653960350157523
10,everWalked,1,105.0,0.0,4.653960350157523
11,around,1,105.0,0.0,4.653960350157523
12,neighborhood,1,105.0,0.0,4.653960350157523
13,recently,1,105.0,0.0,4.653960350157523
14,rebuilt,1,105.0,0.0,4.653960350157523
15,help,1,105.0,0.0,4.653960350157523
16,APJ,1,105.0,0.0,4.653960350157523
17,othersXmas,1,105.0,0.0,4.653960350157523
18,brought,1,105.0,0.0,4.653960350157523
19,presents,1,105.0,0.0,4.653960350157523
20,kids,1,105.0,0.0,4.653960350157523
21,orphanage,1,105.0,0.0,4.653960350157523
22,dont,1,105.0,0.0,4.653960350157523
23,usually,1,105.0,0.0,4.653960350157523
24,get,1,105.0,0.0,4.653960350157523
25,muchMet,1,105.0,0.0,4.653960350157523
26,UNICEF,1,105.0,0.0,4.653960350157523
27,Doctors,1,105.0,0.0,4.653960350157523
28,Without,1,105.0,0.0,4.653960350157523
29,Borders,1,105.0,0.0,4.653960350157523
30,Artists,1,105.0,0.0,4.653960350157523
31,Peace,1,105.0,0.0,4.653960350157523
32,Justice,1,105.0,0.0,4.653960350157523
33,support,1,105.0,0.0,4.653960350157523
34,would,1,105.0,0.0,4.653960350157523
35,recommend,1,105.0,0.0,4.653960350157523
36,othersreturned,1,105.0,0.0,4.653960350157523
37,trip,1,105.0,0.0,4.653960350157523
38,Haiti,1,105.0,0.0,4.653960350157523
39,Covered,1,105.0,0.0,4.653960350157523
40,lot,2,214.0,0.6931471805599453,5.365976015021851
41,ground,1,105.0,0.0,4.653960350157523
42,saw,1,105.0,0.0,4.653960350157523
43,many,3,219.0,1.0986122886681098,5.389071729816501
44,tough,1,105.0,0.0,4.653960350157523
45,situations,1,105.0,0.0,4.653960350157523
46,need,2,214.0,0.6931471805599453,5.365976015021851
47,helpSingle,1,105.0,0.0,4.653960350157523
48,character,1,105.0,0.0,4.653960350157523
49,Tweets,1,105.0,0.0,4.653960350157523
50,ulitmate,1,105.0,0.0,4.653960350157523
51,extension,1,105.0,0.0,4.653960350157523
52,TwitmemeRussians,1,105.0,0.0,4.653960350157523
53,challenges,1,105.0,0.0,4.653960350157523
54,rockets,1,105.0,0.0,4.653960350157523
55,engineers,1,105.0,0.0,4.653960350157523
56,designed,1,105.0,0.0,4.653960350157523
57,retiredlong,1,105.0,0.0,4.653960350157523
58,interesting,1,105.0,0.0,4.653960350157523
59,conversation,1,105.0,0.0,4.653960350157523
60,subjects,1,105.0,0.0,4.653960350157523
61,exciting,1,105.0,0.0,4.653960350157523
62,ideas,1,105.0,0.0,4.653960350157523
63,extending,1,105.0,0.0,4.653960350157523
64,creative,1,105.0,0.0,4.653960350157523
65,talents,1,105.0,0.0,4.653960350157523
66,beyond,1,105.0,0.0,4.653960350157523
67,musicKanye,1,105.0,0.0,4.653960350157523
68,stopped,1,105.0,0.0,4.653960350157523
69,SpaceX,1,105.0,0.0,4.653960350157523
70,rocket,1,105.0,0.0,4.653960350157523
71,factory,1,105.0,0.0,4.653960350157523
72,todayModel,1,105.0,0.0,4.653960350157523
73,options,1,105.0,0.0,4.653960350157523
74,Performance,1,105.0,0.0,4.653960350157523
75,red,1,105.0,0.0,4.653960350157523
76,black,1,105.0,0.0,4.653960350157523
77,deliver,1,105.0,0.0,4.653960350157523
78,car,1,105.0,0.0,4.653960350157523
79,JuneJulyHi,1,105.0,0.0,4.653960350157523
80,Im,1,105.0,0.0,4.653960350157523
81,Art,1,105.0,0.0,4.653960350157523
82,Garfunkel,1,105.0,0.0,4.653960350157523
83,heard,1,105.0,0.0,4.653960350157523
84,sound,1,105.0,0.0,4.653960350157523
85,silence,1,105.0,0.0,4.653960350157523
86,makes,1,105.0,0.0,4.653960350157523
87,soundRaul,1,105.0,0.0,4.653960350157523
88,Campos,1,105.0,0.0,4.653960350157523
89,invited,1,105.0,0.0,4.653960350157523
90,guest,1,105.0,0.0,4.653960350157523
91,DJ,1,105.0,0.0,4.653960350157523
92,gig,1,105.0,0.0,4.653960350157523
93,KCRW,1,105.0,0.0,4.653960350157523
94,Hear,1,105.0,0.0,4.653960350157523
95,random,1,105.0,0.0,4.653960350157523
96,holiday,1,105.0,0.0,4.653960350157523
97,season,1,105.0,0.0,4.653960350157523
98,music,1,105.0,0.0,4.653960350157523
99,selectionsYum,1,105.0,0.0,4.653960350157523
100,Even,1,105.0,0.0,4.653960350157523
101,better,2,214.0,0.6931471805599453,5.365976015021851
102,deep,1,105.0,0.0,4.653960350157523
103,fried,1,105.0,0.0,4.653960350157523
104,butterYeah,1,105.0,0.0,4.653960350157523
105,really,1,105.0,0.0,4.653960350157523
106,Mom,1,105.0,0.0,4.653960350157523
107,attest,1,105.0,0.0,4.653960350157523
108,sure,1,105.0,0.0,4.653960350157523
109,handle,1,105.0,0.0,4.653960350157523
110,140,1,105.0,0.0,4.653960350157523
